task,model,fold,n_train,n_test,rmse,mae,r2,pearson,spearman
koenig_binding_g6,train_mean,0,3880,395,0.561851,0.385110,-0.000577,0.000000,nan
koenig_binding_g6,sequence_features_ridge,0,3880,395,0.550391,0.381456,0.039826,0.205130,0.187013
koenig_binding_g6,train_mean,1,3807,468,0.570999,0.394677,-0.000475,0.000000,nan
koenig_binding_g6,sequence_features_ridge,1,3807,468,0.556628,0.385971,0.049252,0.222944,0.228475
koenig_binding_g6,train_mean,2,3821,454,0.573579,0.393247,-0.001756,-0.000000,nan
koenig_binding_g6,sequence_features_ridge,2,3821,454,0.555861,0.387103,0.059177,0.247881,0.217355
koenig_binding_g6,train_mean,3,3866,409,0.585018,0.408724,-0.001966,-0.000000,nan
koenig_binding_g6,sequence_features_ridge,3,3866,409,0.580455,0.407645,0.013603,0.141608,0.094321
koenig_binding_g6,train_mean,4,3852,423,0.559947,0.403858,-0.000573,0.000000,nan
koenig_binding_g6,sequence_features_ridge,4,3852,423,0.550868,0.395108,0.031613,0.183481,0.182004
koenig_binding_g6,train_mean,5,3862,413,0.512908,0.363434,-0.002511,0.000000,nan
koenig_binding_g6,sequence_features_ridge,5,3862,413,0.506016,0.357407,0.024247,0.175299,0.178828
koenig_binding_g6,train_mean,6,3853,422,0.579396,0.397820,-0.001144,0.000000,nan
koenig_binding_g6,sequence_features_ridge,6,3853,422,0.575836,0.391036,0.011122,0.141962,0.145979
koenig_binding_g6,train_mean,7,3854,421,0.571238,0.415441,-0.000023,-0.000000,nan
koenig_binding_g6,sequence_features_ridge,7,3854,421,0.561864,0.410138,0.032530,0.182837,0.164757
koenig_binding_g6,train_mean,8,3847,428,0.534235,0.385266,-0.000005,-0.000000,nan
koenig_binding_g6,sequence_features_ridge,8,3847,428,0.535921,0.386977,-0.006330,0.101349,0.137811
koenig_binding_g6,train_mean,9,3833,442,0.500643,0.358492,-0.002950,-0.000000,nan
koenig_binding_g6,sequence_features_ridge,9,3833,442,0.490258,0.351146,0.038227,0.208105,0.198811
koenig_binding_g6,sequence_features_ridge,mean,38475,4275,0.546410,0.385399,0.029327,0.181060,0.173535
koenig_binding_g6,train_mean,mean,38475,4275,0.554981,0.390607,-0.001198,-0.000000,nan
koenig_expression_g6,train_mean,0,3880,395,0.577666,0.477683,-0.002203,0.000000,nan
koenig_expression_g6,sequence_features_ridge,0,3880,395,0.567405,0.451934,0.033085,0.209109,0.180750
koenig_expression_g6,train_mean,1,3807,468,0.591544,0.487426,-0.003131,0.000000,nan
koenig_expression_g6,sequence_features_ridge,1,3807,468,0.556197,0.450331,0.113169,0.344318,0.308064
koenig_expression_g6,train_mean,2,3821,454,0.564483,0.469963,-0.000837,0.000000,nan
koenig_expression_g6,sequence_features_ridge,2,3821,454,0.535512,0.439539,0.099256,0.316166,0.280944
koenig_expression_g6,train_mean,3,3866,409,0.568002,0.465631,-0.001281,0.000000,nan
koenig_expression_g6,sequence_features_ridge,3,3866,409,0.561980,0.449043,0.019839,0.181945,0.199542
koenig_expression_g6,train_mean,4,3852,423,0.568363,0.462449,-0.000002,0.000000,nan
koenig_expression_g6,sequence_features_ridge,4,3852,423,0.540559,0.433198,0.095445,0.308954,0.260815
koenig_expression_g6,train_mean,5,3862,413,0.562742,0.457828,-0.000255,-0.000000,nan
koenig_expression_g6,sequence_features_ridge,5,3862,413,0.544728,0.433651,0.062756,0.252249,0.209282
koenig_expression_g6,train_mean,6,3853,422,0.545933,0.450952,-0.001561,0.000000,nan
koenig_expression_g6,sequence_features_ridge,6,3853,422,0.534796,0.429117,0.038886,0.224728,0.215919
koenig_expression_g6,train_mean,7,3854,421,0.573762,0.478495,-0.000332,-0.000000,nan
koenig_expression_g6,sequence_features_ridge,7,3854,421,0.545492,0.443265,0.095814,0.309809,0.296197
koenig_expression_g6,train_mean,8,3847,428,0.575925,0.471973,-0.000321,-0.000000,nan
koenig_expression_g6,sequence_features_ridge,8,3847,428,0.564037,0.449154,0.040551,0.223862,0.224643
koenig_expression_g6,train_mean,9,3833,442,0.579726,0.476559,-0.000511,nan,nan
koenig_expression_g6,sequence_features_ridge,9,3833,442,0.549575,0.446603,0.100855,0.318944,0.289458
koenig_expression_g6,sequence_features_ridge,mean,38475,4275,0.550028,0.442583,0.069966,0.269008,0.246561
koenig_expression_g6,train_mean,mean,38475,4275,0.570815,0.469896,-0.001043,0.000000,nan
warszawski_binding_d44,train_mean,0,1861,187,1.293671,1.060333,-0.001414,-0.000000,nan
warszawski_binding_d44,sequence_features_ridge,0,1861,187,1.266300,1.047616,0.040513,0.219097,0.221189
warszawski_binding_d44,train_mean,1,1845,203,1.297268,1.085932,-0.000019,0.000000,nan
warszawski_binding_d44,sequence_features_ridge,1,1845,203,1.275303,1.066779,0.033558,0.214768,0.205357
warszawski_binding_d44,train_mean,2,1832,216,1.352260,1.120702,-0.015129,-0.000000,nan
warszawski_binding_d44,sequence_features_ridge,2,1832,216,1.303339,1.080869,0.056992,0.260679,0.266538
warszawski_binding_d44,train_mean,3,1852,196,1.289433,1.057768,-0.009296,0.000000,nan
warszawski_binding_d44,sequence_features_ridge,3,1852,196,1.196686,0.987785,0.130676,0.377081,0.396468
warszawski_binding_d44,train_mean,4,1835,213,1.276508,1.041607,-0.000136,-0.000000,nan
warszawski_binding_d44,sequence_features_ridge,4,1835,213,1.235001,0.981040,0.063846,0.258080,0.289687
warszawski_binding_d44,train_mean,5,1836,212,1.314675,1.058922,-0.000015,0.000000,nan
warszawski_binding_d44,sequence_features_ridge,5,1836,212,1.258881,0.996958,0.083064,0.288598,0.324502
warszawski_binding_d44,train_mean,6,1845,203,1.216735,1.004744,-0.001222,0.000000,nan
warszawski_binding_d44,sequence_features_ridge,6,1845,203,1.255844,1.040647,-0.066620,0.082955,0.087746
warszawski_binding_d44,train_mean,7,1839,209,1.249365,1.040386,-0.012467,0.000000,nan
warszawski_binding_d44,sequence_features_ridge,7,1839,209,1.189465,0.989490,0.082290,0.314535,0.327614
warszawski_binding_d44,train_mean,8,1838,210,1.320285,1.101796,-0.016043,0.000000,nan
warszawski_binding_d44,sequence_features_ridge,8,1838,210,1.303616,1.061967,0.009450,0.196907,0.223287
warszawski_binding_d44,train_mean,9,1849,199,1.317716,1.097139,-0.000051,0.000000,nan
warszawski_binding_d44,sequence_features_ridge,9,1849,199,1.279372,1.053910,0.057303,0.245131,0.257499
warszawski_binding_d44,sequence_features_ridge,mean,18432,2048,1.256381,1.030706,0.049107,0.245783,0.259989
warszawski_binding_d44,train_mean,mean,18432,2048,1.292792,1.066933,-0.005579,0.000000,nan
